name,best guess,B,E,S,Y,classifier
Gaia16bnn,B,0.56,0.002,0.394,0.044,RFC
Gaia16bnz,B,0.934,0.0,0.066,0.0,
Gaia17ahl,E,0.01,0.508,0.004,0.478,
Gaia17bpp,E,0.0,0.826,0.0,0.174,
Gaia17bts,S,0.298,0.0,0.584,0.118,
Gaia17bzd,Y,0.006,0.02,0.0,0.974,
Gaia17cad,E,0.0,0.936,0.0,0.064,
Gaia17clq,B,0.952,0.0,0.042,0.006,
Gaia18aju,Y,0.23,0.088,0.134,0.548,
Gaia18akn,B,0.942,0.0,0.01,0.048,
Gaia18akt,B,0.834,0.0,0.034,0.132,
Gaia18asq,Y,0.076,0.01,0.182,0.732,
Gaia18atq,E,0.0,0.948,0.0,0.052,
Gaia18auy,Y,0.036,0.016,0.0,0.948,
Gaia18bmt,Y,0.1,0.0,0.28,0.62,
Gaia18ccq,Y,0.0,0.0,0.0,1.0,
Gaia18ces,S,0.248,0.008,0.596,0.148,
Gaia18cjb,Y,0.0,0.02,0.0,0.98,
Gaia18cnm,E,0.0,0.976,0.0,0.024,
Gaia18cre,S,0.358,0.0,0.642,0.0,
Gaia18cwv,E,0.0,0.886,0.0,0.114,
Gaia18dep,S,0.452,0.0,0.532,0.016,
Gaia18dvi,Y,0.13,0.012,0.054,0.804,
Gaia19aik,B,0.552,0.0,0.022,0.426,
Gaia19apt,E,0.0,0.994,0.0,0.006,
Gaia19apx,E,0.0,0.986,0.0,0.014,
Gaia19aqw,S,0.462,0.0,0.476,0.062,
Gaia19awc,E,0.0,0.85,0.0,0.15,
Gaia19bat,E,0.0,0.97,0.0,0.03,
Gaia19bcm,S,0.01,0.0,0.99,0.0,
Gaia19bfn,S,0.384,0.0,0.518,0.098,
Gaia19bhg,E,0.0,0.742,0.0,0.258,
Gaia19bld,Y,0.176,0.2,0.01,0.614,
Gaia19bpg,E,0.0,0.778,0.0,0.222,
Gaia19bsy,S,0.374,0.0,0.59,0.036,
Gaia19ccl,B,0.668,0.0,0.296,0.036,
Gaia19cnm,Y,0.0,0.158,0.0,0.842,
Gaia19cyp,E,0.0,0.71,0.0,0.29,
Gaia19dak,Y,0.106,0.048,0.028,0.818,
Gaia19dke,S,0.03,0.0,0.914,0.056,
Gaia19dmj,Y,0.208,0.066,0.016,0.71,
Gaia19dqd,Y,0.176,0.01,0.124,0.69,
Gaia19dqe,B,0.96,0.0,0.04,0.0,
Gaia19dqg,E,0.0,0.968,0.0,0.032,
Gaia19dqm,Y,0.08,0.024,0.062,0.834,
Gaia19dqz,Y,0.106,0.042,0.008,0.844,
Gaia19drp,B,0.994,0.0,0.004,0.002,
Gaia19dvk,B,0.618,0.0,0.03,0.352,
Gaia19dwt,Y,0.008,0.444,0.002,0.546,
Gaia19dyo,Y,0.0,0.184,0.0,0.816,
Gaia19eca,E,0.0,0.992,0.0,0.008,
Gaia19eek,Y,0.332,0.046,0.014,0.608,
Gaia19eim,Y,0.252,0.006,0.114,0.628,
Gaia19ejl,Y,0.0,0.036,0.0,0.964,
Gaia19enj,Y,0.012,0.276,0.004,0.708,
Gaia19epm,S,0.056,0.0,0.944,0.0,
Gaia19esp,E,0.0,0.996,0.0,0.004,
Gaia19ezx,B,0.668,0.0,0.312,0.02,
Gaia19fby,B,0.928,0.0,0.022,0.05,
Gaia19fhn,Y,0.002,0.292,0.0,0.706,
Gaia19fiy,B,0.964,0.0,0.0,0.036,
Gaia19fkg,B,0.83,0.0,0.156,0.014,
Gaia19flk,B,0.426,0.0,0.378,0.196,
Gaia19fms,B,0.96,0.0,0.026,0.014,
Gaia19foc,B,0.498,0.0,0.386,0.116,
Gaia19fpb,Y,0.016,0.012,0.002,0.97,
Gaia20abf,B,0.984,0.0,0.016,0.0,
Gaia20aci,S,0.196,0.002,0.494,0.308,
Gaia20aeu,Y,0.004,0.258,0.006,0.732,
Gaia20agb,B,0.812,0.0,0.02,0.168,
Gaia20agl,B,0.898,0.0,0.102,0.0,
Gaia20aob,B,0.912,0.0,0.014,0.074,
Gaia20aoq,B,0.814,0.0,0.126,0.06,
Gaia20asj,S,0.236,0.0,0.764,0.0,
Gaia20asm,Y,0.004,0.002,0.0,0.994,
Gaia20asq,Y,0.06,0.002,0.354,0.584,
Gaia20atp,B,0.574,0.002,0.036,0.388,
Gaia20avj,E,0.01,0.658,0.0,0.332,
Gaia20avm,B,0.644,0.0,0.198,0.158,
Gaia20azf,Y,0.286,0.0,0.066,0.648,
Gaia20bbn,Y,0.026,0.388,0.008,0.578,
Gaia20bdk,Y,0.0,0.0,0.0,1.0,
Gaia20ben,Y,0.004,0.36,0.002,0.634,
Gaia20bfm,Y,0.07,0.084,0.038,0.808,
Gaia20bgq,Y,0.0,0.16,0.0,0.84,
Gaia20bgu,Y,0.048,0.028,0.004,0.92,
Gaia20bhk,B,0.742,0.0,0.184,0.074,
Gaia20bhq,B,0.616,0.002,0.01,0.372,
Gaia20biv,B,0.588,0.0,0.006,0.406,
Gaia20biy,E,0.0,0.946,0.0,0.054,
Gaia20bjg,Y,0.032,0.148,0.002,0.818,
Gaia20bjn,Y,0.022,0.076,0.0,0.902,
Gaia20bjs,Y,0.038,0.074,0.0,0.888,
Gaia20bka,E,0.0,0.986,0.0,0.014,
Gaia20bkd,Y,0.042,0.444,0.006,0.508,
Gaia20bkw,Y,0.126,0.0,0.364,0.51,
Gaia20blb,S,0.084,0.0,0.584,0.332,
Gaia20blm,S,0.314,0.0,0.55,0.136,
Gaia20blp,Y,0.178,0.012,0.342,0.468,
Gaia20blw,B,0.56,0.0,0.404,0.036,
Gaia20bmg,Y,0.286,0.016,0.004,0.694,
Gaia20bml,S,0.024,0.0,0.708,0.268,
Gaia20boe,Y,0.102,0.138,0.016,0.744,
Gaia20bof,S,0.154,0.0,0.516,0.33,
Gaia20bor,S,0.47,0.0,0.53,0.0,
Gaia20bpk,S,0.412,0.0,0.588,0.0,
Gaia20bpl,S,0.208,0.0,0.782,0.01,
Gaia20bsn,Y,0.046,0.056,0.016,0.882,
Gaia20btf,Y,0.0,0.158,0.0,0.842,
Gaia20bth,Y,0.048,0.104,0.006,0.842,
Gaia20bua,E,0.0,0.982,0.0,0.018,
Gaia20buc,E,0.0,0.97,0.0,0.03,
Gaia20bwp,E,0.056,0.59,0.0,0.354,
Gaia20bxd,B,0.512,0.0,0.488,0.0,
Gaia20bzn,B,0.65,0.0,0.28,0.07,
Gaia20cek,S,0.176,0.0,0.428,0.396,
Gaia20cen,S,0.324,0.0,0.364,0.312,
Gaia20cga,B,0.5,0.002,0.282,0.216,
Gaia20cgb,S,0.11,0.0,0.888,0.002,
Gaia20clv,S,0.068,0.0,0.808,0.124,
Gaia20cmv,Y,0.164,0.0,0.396,0.44,
Gaia20cnv,B,0.65,0.002,0.244,0.104,
Gaia20cnw,E,0.0,0.99,0.0,0.01,
Gaia20cog,B,0.868,0.0,0.004,0.128,
Gaia20coi,B,0.616,0.0,0.384,0.0,
Gaia20cop,B,0.664,0.0,0.3,0.036,
Gaia20crc,Y,0.04,0.214,0.036,0.71,
Gaia20cvo,B,0.638,0.0,0.102,0.26,
Gaia20cvu,S,0.13,0.0,0.84,0.03,
Gaia20cxk,Y,0.002,0.288,0.002,0.708,
Gaia20cyx,Y,0.2,0.0,0.366,0.434,
Gaia20czv,Y,0.14,0.002,0.226,0.632,
Gaia20dft,Y,0.0,0.462,0.0,0.538,
Gaia20dsa,Y,0.074,0.04,0.012,0.874,
Gaia20dtu,E,0.0,0.73,0.0,0.27,
Gaia20dtv,Y,0.014,0.016,0.0,0.97,
Gaia20dun,E,0.0,0.966,0.0,0.034,
Gaia20dwf,Y,0.122,0.186,0.01,0.682,
Gaia20dxg,E,0.0,0.994,0.0,0.006,
Gaia20eae,Y,0.0,0.0,0.0,1.0,
Gaia20eak,B,0.68,0.0,0.204,0.116,
Gaia20eby,S,0.27,0.0,0.366,0.364,
Gaia20ecz,Y,0.086,0.192,0.012,0.71,
Gaia20edf,E,0.008,0.652,0.0,0.34,
Gaia20edn,E,0.0,0.986,0.0,0.014,
Gaia20eer,E,0.022,0.582,0.0,0.396,
Gaia20efl,B,0.524,0.0,0.248,0.228,
Gaia20efx,Y,0.058,0.196,0.052,0.694,
Gaia20egz,B,0.6,0.0,0.352,0.048,
Gaia20ejb,B,0.96,0.0,0.04,0.0,
Gaia20eqj,E,0.0,0.706,0.0,0.294,
Gaia20eqm,E,0.0,1.0,0.0,0.0,
Gaia20eqs,Y,0.132,0.004,0.004,0.86,
Gaia20equ,Y,0.062,0.064,0.002,0.872,
Gaia20eqx,S,0.06,0.004,0.736,0.2,
Gaia20erh,B,0.508,0.0,0.356,0.136,
Gaia20esj,S,0.268,0.004,0.37,0.358,
Gaia20esu,E,0.0,0.996,0.0,0.004,
Gaia20fcc,S,0.27,0.0,0.73,0.0,
Gaia20fcq,B,0.802,0.0,0.014,0.184,
Gaia20fhb,S,0.24,0.0,0.758,0.002,
Gaia20fhu,Y,0.066,0.022,0.01,0.902,
Gaia20fir,Y,0.058,0.02,0.108,0.814,
Gaia20fju,Y,0.016,0.334,0.006,0.644,
Gaia20fkk,S,0.024,0.0,0.932,0.044,
Gaia20fmm,B,0.352,0.072,0.272,0.304,
Gaia20fnr,S,0.33,0.0,0.616,0.054,
Gaia18bcb,E,0.0,0.924,0.0,0.076,
Gaia18dvy,Y,0.174,0.1,0.008,0.718,
